Parameter,Value,name,mcs ( in DL),retx (# of retransmissions requested by the UE),txok (# of successful transmissions),"bit rate (average bitrate (at the MAC layer), in bits per second in DL)",snr,mcs (UL),rxko (# of retransmissions requested by the gNB),rxok (# of received uplink transport blocks without error),bitrate UL(mbps),# of iterations of the†LDPC decoder
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.4,32,2868,111.00,11.8,10.5,1,205,0.14,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.5,29,2871,111.00,15,9.7,1,219,0.141,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.4,36,2864,111.00,17.1,9.6,5,220,0.142,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.9,23,2588,111.00,15.7,11.2,1,197,0.142,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,48,2852,111.00,14.2,9.8,3,209,0.143,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.5,22,2755,111.00,12.8,10.2,4,216,0.143,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,25,23,2517,111.00,13.1,10,4,215,0.144,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.5,26,2650,111.00,15.2,10.7,3,207,0.145,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.7,24,2612,111.00,16.1,11.2,1,198,0.145,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,30,2667,111.00,13.9,10.6,1,221,0.146,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.6,25,2609,111.00,16.1,11.3,5,215,0.149,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.8,18,2616,111.00,21,10.1,5,215,0.15,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.6,22,2618,111.00,14.9,10.5,1,214,0.152,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.5,35,2865,111.00,14.5,10.2,1,224,0.152,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.4,27,2572,111.00,16.1,9.6,2,227,0.153,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,29,2678,111.00,18.1,9.5,1,227,0.153,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.7,23,2616,111.00,15.6,10.1,2,218,0.153,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.2,27,2674,111.00,14.5,10.5,2,204,0.153,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.5,13,2768,111.00,13.3,9.8,3,223,0.154,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,25,2685,111.00,16.7,9.3,2,226,0.154,1.7
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24,24,2650,111.00,14.2,9.9,1,221,0.155,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,25,2851,111.00,17.1,10.1,3,218,0.155,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,31,2813,111.00,15.3,9.8,1,221,0.157,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23,24,2740,111.00,17.5,9.5,1,237,0.157,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.8,21,2631,111.00,13,9.9,7,223,0.158,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24,25,2611,111.00,12.8,9.3,1,223,0.158,1.7
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,23,2856,111.00,13,9.5,2,241,0.16,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.6,26,2670,111.00,15,9.3,3,219,0.163,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.1,25,2762,111.00,12.9,9.5,6,235,0.164,1.7
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.4,32,2868,111.00,12.1,9,0,229,0.181,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,28,2817,111.00,13.3,10.6,0,236,0.19,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.7,40,2860,112.00,13.4,9.9,1,197,0.122,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,28,2872,112.00,11.3,9.8,1,191,0.122,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.7,46,2854,112.00,14.8,9.7,1,193,0.123,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,27,2763,112.00,12.8,10,3,210,0.134,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,27,2873,112.00,14.4,10.3,2,219,0.137,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,55,2845,112.00,16.4,9.5,1,213,0.137,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,31,2760,112.00,11.9,9.8,0,204,0.137,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.7,20,2880,112.00,14.2,9.9,1,205,0.139,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,29,2871,112.00,11.5,9.7,0,210,0.139,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,24,2876,112.00,16.8,9.7,4,214,0.14,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.7,20,2880,112.00,17,9.8,2,208,0.142,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,23,2669,112.00,14.3,10.4,2,208,0.142,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,31,2869,112.00,15.2,10.1,0,222,0.147,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.1,20,2728,112.00,15.2,10.3,1,212,0.148,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.6,24,2566,112.00,13,9.8,5,223,0.149,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24,28,2605,112.00,14,10.7,3,226,0.149,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.1,23,2629,112.00,12.5,10.3,2,211,0.149,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,21,2858,112.00,11.8,9.1,3,233,0.149,1.7
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.9,22,2599,112.00,15,9.9,1,221,0.15,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.5,22,2546,112.00,17.3,9.9,1,216,0.15,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.7,21,2624,112.00,18.1,11.1,2,204,0.15,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,45,2855,112.00,13.2,9.5,5,228,0.153,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.5,21,2574,112.00,11.1,10.3,3,203,0.154,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.8,22,2780,112.00,15.2,10.8,3,222,0.154,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.2,27,2707,112.00,12.1,9,3,214,0.154,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.1,32,2694,112.00,16.5,9.7,2,227,0.155,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,23,2841,112.00,12.9,10.3,1,221,0.155,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.5,32,2593,112.00,12.1,10.5,4,206,0.155,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.7,35,2865,112.00,14.3,9.8,2,221,0.155,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.6,23,2539,112.00,14.1,10.5,2,219,0.156,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23,28,2724,112.00,15.1,10.1,1,211,0.157,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24,25,2617,112.00,15.4,10.1,3,238,0.157,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,33,2761,112.00,18.1,9.6,3,230,0.157,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.5,24,2574,112.00,11.2,9.5,2,219,0.158,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,27,2853,112.00,11.1,9.8,2,243,0.158,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.4,21,2688,112.00,16.4,10.1,1,224,0.158,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,20,2777,112.00,16,10.4,4,215,0.158,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,30,2805,112.00,16.2,9.8,1,235,0.159,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.3,22,2622,112.00,13.7,9.8,3,219,0.159,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.6,28,2662,112.00,13.2,9.6,2,224,0.16,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,30,2800,112.00,16.9,9.9,2,224,0.16,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.5,24,2653,112.00,12.5,10.5,2,220,0.16,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.1,23,2739,112.00,16.5,10.1,3,232,0.161,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23,30,2731,112.00,18.5,10.5,3,227,0.162,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.6,23,2877,112.00,15.7,10.7,3,236,0.163,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,40,2860,113.00,14.6,10.3,2,184,0.12,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,42,2858,113.00,14.9,9.8,3,192,0.121,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,36,2864,113.00,11.4,9.9,2,195,0.123,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,33,2867,113.00,12,9.6,3,205,0.124,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,40,2860,113.00,16.6,10.2,5,205,0.137,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,59,2841,113.00,14.3,10.1,0,205,0.139,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,36,2864,113.00,13.4,9.5,1,206,0.139,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,31,2869,113.00,17.4,10.3,3,210,0.141,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.5,24,2681,113.00,13.3,9.9,0,223,0.141,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,26,2874,113.00,15.6,9.8,0,223,0.141,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,38,2862,113.00,16.3,9.7,1,212,0.143,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24,18,2632,113.00,12.5,9.7,2,213,0.146,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,32,2868,113.00,14.8,9.6,1,224,0.147,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,26,2845,113.00,17.3,9.5,2,215,0.147,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.8,22,2751,113.00,12.5,9.5,2,221,0.148,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.8,24,2651,113.00,14.2,11.1,2,208,0.149,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,18,2799,113.00,11.4,10.1,2,213,0.15,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,25.1,26,2532,113.00,17.1,9.3,3,226,0.152,1.7
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.6,27,2782,113.00,13,9.6,1,226,0.153,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.2,26,2594,113.00,12.6,9.9,3,219,0.154,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.1,28,2737,113.00,15.2,10.5,2,222,0.156,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.9,28,2799,113.00,14.4,9.7,0,233,0.157,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.6,22,2595,113.00,11.6,9.8,1,226,0.157,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,32,2845,113.00,12.8,9.6,3,219,0.158,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.8,34,2866,113.00,15.6,10,0,230,0.158,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.7,18,2690,113.00,13,9.6,3,224,0.159,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,27,2722,113.00,13.6,10.5,1,231,0.159,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.7,27,2648,113.00,16.8,10.9,4,229,0.16,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,38,2833,113.00,12.7,10.1,3,227,0.161,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.6,23,2673,113.00,14.8,10.5,3,230,0.162,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.6,26,2708,113.00,11.1,9.8,0,221,0.166,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.7,26,2710,113.00,13.3,10.8,3,233,0.166,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.4,30,2536,114.00,15.3,9.7,1,179,0.121,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,39,2861,114.00,17.2,10.2,0,197,0.121,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,31,2869,114.00,15.5,10.7,2,207,0.133,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,51,2849,114.00,17.7,10,3,212,0.138,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,24,2876,114.00,14.7,9.7,4,214,0.139,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,21,2879,114.00,13.4,9.9,2,204,0.139,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,21,2879,114.00,16,11,5,211,0.14,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,25,2875,114.00,15.6,10.2,2,222,0.141,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,34,2866,114.00,12.9,10.1,2,221,0.142,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,21.9,42,2858,114.00,14.6,10.6,2,218,0.142,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,34,2866,114.00,13.9,9.9,2,213,0.144,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,30,2870,114.00,15.5,10.4,2,219,0.145,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.7,22,2780,114.00,15.8,10.2,2,211,0.147,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.9,23,2757,114.00,11.9,9.1,0,224,0.149,1.7
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,24,2871,114.00,13.3,10.3,4,223,0.15,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23,30,2766,114.00,16.9,9.4,5,222,0.151,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.4,22,2613,114.00,16.5,10.4,4,220,0.153,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,25.1,24,2517,114.00,16.2,10.2,2,224,0.153,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.7,26,2623,114.00,16.5,10.4,0,223,0.154,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,33,2867,114.00,16.3,9.9,0,226,0.155,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,21,2879,114.00,15.4,10.4,1,227,0.155,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,25,2872,114.00,15.1,9.6,2,233,0.156,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.9,31,2775,114.00,13.6,9.1,6,222,0.156,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.2,20,2713,114.00,12.3,10,2,222,0.157,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.7,35,2794,114.00,14.9,9.7,4,226,0.157,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.4,26,2716,114.00,14.1,10.2,0,227,0.157,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.8,24,2644,114.00,16.2,9.6,0,221,0.159,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.1,26,2686,114.00,12.9,9.6,2,222,0.16,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23,24,2744,114.00,14.5,9.9,3,227,0.16,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.5,26,2591,114.00,12.2,9.8,1,223,0.163,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.9,30,2707,114.00,16.6,9.7,1,231,0.164,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,33,2757,114.00,12.1,9.8,1,235,0.164,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,29,2871,114.00,13.8,10.4,1,215,0.164,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22,21,2879,114.00,14.7,10,1,237,0.167,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,30,2870,115.00,12.2,9.8,2,202,0.122,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,28,2872,115.00,15.2,10.2,3,216,0.142,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,18,2882,115.00,13.7,10.1,1,216,0.142,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.2,31,2869,115.00,13,10.6,0,218,0.144,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.1,19,2881,115.00,15.8,10.5,3,203,0.15,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,26,2868,115.00,13.7,10.2,3,230,0.151,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.3,26,2661,115.00,14.8,9.9,2,232,0.154,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24,29,2674,115.00,13.3,9.6,4,232,0.154,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.4,28,2733,115.00,16.9,10.5,1,219,0.155,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.3,30,2771,115.00,12.9,9.6,1,220,0.157,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,31,2869,116.00,12.4,9.8,1,193,0.119,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.5,69,2831,116.00,15.9,10,1,189,0.121,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,22,2878,116.00,16,10.4,0,191,0.125,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,25,2875,116.00,16.8,9.8,3,202,0.129,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.2,20,2880,116.00,13.8,10.6,5,223,0.138,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,35,2865,116.00,15.8,9.9,5,212,0.139,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,26,2874,116.00,15.5,9.5,1,215,0.139,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,45,2855,116.00,12.8,10.2,2,211,0.139,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.2,29,2871,116.00,13.3,10,3,215,0.141,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,32,2868,116.00,13.2,10,3,216,0.141,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.2,39,2861,116.00,15.8,10,2,217,0.142,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.3,35,2865,116.00,15.5,9.9,0,204,0.142,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.4,36,2864,116.00,14.2,9.8,1,220,0.142,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,25,26,2584,116.00,16.5,10.3,1,213,0.144,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,25.4,25,2555,116.00,14.3,9.9,3,216,0.146,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.4,21,2639,116.00,17.1,10.1,3,212,0.152,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.2,29,2646,116.00,13.9,9.8,2,219,0.153,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.2,23,2684,116.00,17.6,10.8,2,227,0.153,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,25,25,2597,116.00,15.1,10.5,5,215,0.157,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.4,27,2754,116.00,15.4,10.1,0,217,0.158,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.1,23,2688,116.00,16.8,9.6,2,224,0.159,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.9,26,2598,116.00,13.1,10.2,2,224,0.159,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.3,28,2694,116.00,15.7,10.2,5,230,0.166,1.9
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,24.4,25,2664,116.00,14.9,9.7,0,232,0.17,1.8
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.5,27,2867,117.00,13.5,9.9,3,198,0.126,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.5,21,2717,117.00,15.1,10.4,1,203,0.129,2.1
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,23.2,32,2763,117.00,15.3,10,1,206,0.132,2
Maximum Number of LDPC Iterations,ldcp_3,Maximum Number of LDPC Iterationsldcp_3,22.6,29,2871,117.00,14.2,10.1,2,208,0.137,2
